Pathway	ERR1995262_bin.1	ERR1995262_bin.10	ERR1995262_bin.11	ERR1995262_bin.12	ERR1995262_bin.2	ERR1995262_bin.3	ERR1995262_bin.4	ERR1995262_bin.5	ERR1995262_bin.6	ERR1995262_bin.7	ERR1995262_bin.8	ERR1995262_bin.9
Tyrosine biosynthesis, chorismate => HPP => tyrosine	8	8	8	7	8	8	7	8	8	7	3	7
Histidine biosynthesis, PRPP => histidine	16	15	18	18	8	18	18	16	16	18	7	15
GABA (gamma-Aminobutyrate) shunt	7	8	5	8	4	7	8	7	7	5	3	5
Ornithine biosynthesis, glutamate => ornithine	12	12	12	11	7	12	11	11	12	10	4	11
Urea cycle	4	4	5	5	4	4	4	4	4	5	2	5
Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	3	4	3	4	3	4	4	3	3	4	1	4
Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	5	5	5	5	4	5	5	5	5	5	2	5
Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	2	3	2	4	4	3	3	2	3	3	3	4
Ectoine biosynthesis, aspartate => ectoine	4	3	4	4	2	3	4	5	3	4	2	3
Methionine salvage pathway	10	9	12	14	9	8	9	11	7	8	8	8
Methionine degradation	5	6	5	5	4	5	5	5	4	6	5	6
Leucine degradation, leucine => acetoacetate + acetyl-CoA	9	9	11	13	12	8	13	10	8	13	5	12
Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin	1	0	0	0	1	0	0	0	0	0	0	0
Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	5	5	5	4	4	4	4	3	5	4	4	3
Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	1	1	1	0	1	2	2	1	0	2	0	2
Tyrosine biosynthesis, chorismate => arogenate => tyrosine	6	6	6	6	6	6	6	6	6	6	3	6
Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	1	0	0	0	1	0	0	0	0	0	0	0
Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine	0	0	0	0	0	0	0	0	0	0	0	0
Tyrosine degradation, tyrosine => homogentisate	1	1	2	4	1	4	3	4	2	3	1	3
Histidine degradation, histidine => N-formiminoglutamate => glutamate	1	2	6	3	2	3	5	3	3	5	1	7
Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	5	6	6	6	5	6	6	6	5	6	5	6
Creatine pathway	0	1	0	0	1	0	0	1	0	0	0	0
De novo purine biosynthesis, PRPP + glutamine => IMP	18	18	17	17	17	17	17	17	17	15	3	17
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	4	4	5	5	3	4	5	5	4	5	4	5
Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	3	3	4	4	3	3	4	4	4	4	3	4
De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	13	13	12	13	12	13	13	12	12	13	8	11
Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	2	3	4	4	3	3	4	4	4	4	3	4
Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	0	0	3	3	0	2	2	3	1	2	0	2
N-glycan precursor biosynthesis	3	1	0	1	3	2	2	2	1	2	1	2
O-glycan biosynthesis, mucin type core	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, linkage tetrasaccharide	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, chondroitin sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan biosynthesis, heparan sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0
KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	4	3	9	9	9	2	9	9	4	7	3	9
D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	3	5	2	6	2	2	6	2	5	6	1	3
CMP-KDO biosynthesis	3	3	4	4	4	3	4	4	4	4	2	3
ADP-L-glycero-D-manno-heptose biosynthesis	5	5	6	6	6	5	5	6	5	5	5	5
GPI-anchor biosynthesis, core oligosaccharide	0	0	0	0	0	0	0	0	0	0	0	0
Lactosylceramide biosynthesis	1	1	1	1	1	1	1	0	1	1	0	0
Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	0	0	0	0	0	0	0	0	0	0	0	0
Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	0	0	1	0	0	0	0	0	0	0	0	0
N-glycosylation by oligosaccharyltransferase	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan precursor trimming	0	0	0	0	0	0	0	0	0	0	0	0
N-glycan biosynthesis, high-mannose type	0	0	0	0	0	0	1	0	0	0	0	0
N-glycan biosynthesis, complex type	0	0	0	0	0	0	0	0	0	0	0	0
Dermatan sulfate degradation	1	1	1	3	0	1	3	0	0	3	2	3
Chondroitin sulfate degradation	1	1	0	3	0	1	3	0	0	3	1	3
Heparan sulfate degradation	2	1	2	4	1	1	6	1	0	6	2	6
Keratan sulfate degradation	1	0	0	2	0	1	3	0	0	3	0	3
Pectin degradation	0	1	0	1	0	0	1	0	1	1	0	0
Fatty acid biosynthesis, initiation	12	11	12	12	12	11	12	12	12	12	2	10
Fatty acid biosynthesis, elongation	12	11	12	12	12	9	12	12	12	11	4	11
Fatty acid elongation in mitochondria	0	1	0	4	3	2	1	2	2	0	1	1
beta-Oxidation, acyl-CoA synthesis	1	2	2	2	0	2	2	2	0	2	0	2
beta-Oxidation	2	5	6	13	14	4	10	8	4	10	4	11
Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	4	4	4	4	4	2	4	4	3	4	2	4
Triacylglycerol biosynthesis	2	2	2	3	3	2	2	2	2	2	2	2
Phosphatidylcholine (PC) biosynthesis, choline => PC	0	0	0	1	1	0	0	0	0	0	0	0
Phosphatidylcholine (PC) biosynthesis, PE => PC	1	1	1	1	1	1	1	1	1	1	1	1
Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	0	0	0	0	0	1	0	0	0	0	0	0
Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	4	3	3	4	1	2	4	3	2	4	2	4
Ceramide biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1
C5 isoprenoid biosynthesis, mevalonate pathway	5	4	3	5	3	1	5	2	3	4	2	4
C5 isoprenoid biosynthesis, non-mevalonate pathway	9	9	9	9	7	8	9	8	8	7	9	8
beta-Carotene biosynthesis, GGAP => beta-carotene	4	4	4	4	3	4	4	4	4	4	4	4
Acylglycerol degradation	1	2	2	3	1	2	2	1	2	2	2	1
Sphingosine biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1
Sphingosine degradation	2	1	1	0	2	1	2	0	1	2	1	0
Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	0	0	0	1	0	0	0	0	0	0	0	0
Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol	1	1	1	2	0	1	1	1	1	1	1	1
Cholecalciferol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	0	0	1	3	2	0	1	0	0	0	0	1
Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	0	0	0	0	0	0	0	0	0	0	0	0
Steroid hormone biosynthesis, cholesterol => prognenolone => progesterone	0	0	0	0	0	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	0	0	0	0	0	0	0	0	0	0	0	0
C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	0	0	0	0	0	0	0	0	0	0	0	0
C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	0	0	0	0	0	0	0	0	0	0	0	0
Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	1	1	2	2	1	3	2	2	1	2	1	1
Jasmonic acid biosynthesis	0	0	0	0	1	0	0	0	0	0	0	0
Ascorbate biosynthesis, plants, fructose-6P => ascorbate	2	4	3	4	4	2	4	3	3	4	3	4
NAD biosynthesis, aspartate => quinolinate => NAD	7	7	6	7	5	7	7	5	7	7	4	7
Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	7	6	8	9	5	7	9	9	3	9	2	9
Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	7	7	7	10	4	6	8	7	8	8	5	6
Glutathione biosynthesis, glutamate => glutathione	0	0	0	2	0	1	1	0	0	1	1	1
Pantothenate biosynthesis, valine/L-aspartate => pantothenate	3	3	6	6	2	3	6	5	3	6	2	5
Coenzyme A biosynthesis, pantothenate => CoA	8	8	8	8	8	3	8	8	7	8	5	5
Heme biosynthesis, plants and bacteria, glutamate => heme	7	12	13	14	7	6	10	13	7	10	5	9
Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	9	8	5	10	7	4	6	10	5	6	3	4
Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	6	6	4	6	3	4	6	6	5	4	2	6
Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	3	3	3	6	3	3	6	2	4	6	2	4
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	10	16	12	16	12	9	15	16	9	15	9	13
Tetrahydrofolate biosynthesis, GTP => THF	10	6	11	12	8	11	12	12	11	12	3	11
Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	10	10	9	10	9	7	10	9	9	10	5	9
Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinol	1	1	0	1	0	0	0	0	1	0	0	0
Ascorbate biosynthesis, animals, glucose-1P => ascorbate	5	5	4	6	4	4	5	3	2	5	2	4
Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	0	0	0	0	0	0	0	0	0	0	0	0
Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	0	0	1	1	0	1	1	0	0	1	1	1
Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	0	0	0	0	0	0	0	0	0	0	0	0
Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	3	5	5	6	5	2	3	5	3	4	3	3
Polyamine biosynthesis, arginine => ornithine => putrescine	1	1	2	2	1	1	1	1	1	2	0	2
GABA biosynthesis, eukaryotes, putrescine => GABA	3	3	3	3	3	3	3	3	3	3	3	3
GABA biosynthesis, prokaryotes, putrescine => GABA	4	4	4	4	4	4	4	4	4	3	4	3
Flavanone biosynthesis, phenylalanine => naringenin	0	0	1	0	0	1	1	0	0	1	0	1
Flavonoid biosynthesis, naringenin => pelargonidin	0	0	0	0	0	0	0	0	0	0	0	0
C1-unit interconversion, prokaryotes	4	5	4	2	4	3	5	4	4	4	3	4
C1-unit interconversion, eukaryotes	2	2	2	2	2	2	2	2	2	2	1	2
NADH:ubiquinone oxidoreductase, mitochondria	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	0	0	0	0	0	0	0	0	0	0	0	0
NADH:quinone oxidoreductase, prokaryotes	0	0	0	0	0	0	0	0	0	0	0	0
NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	0	0	0	0	0	0	0	0	0	0	0	0
NADH dehydrogenase (ubiquinone) 1 beta subcomplex	0	0	0	0	0	0	0	0	0	0	0	0
Succinate dehydrogenase (ubiquinone)	0	0	0	0	0	0	0	0	0	0	0	0
Succinate dehydrogenase, prokaryotes	1	2	3	4	2	2	2	2	2	2	1	3
Fumarate reductase, prokaryotes	1	2	3	4	2	2	2	2	2	2	1	2
Cytochrome bc1 complex respiratory unit	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome bc1 complex	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome bd ubiquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c oxidase	0	0	0	1	0	0	1	0	0	1	0	0
Cytochrome c oxidase, prokaryotes	0	0	1	3	0	0	0	0	0	0	0	0
Cytochrome c oxidase, cbb3-type	0	0	0	0	0	0	0	0	0	0	0	0
F-type ATPase, prokaryotes and chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0
F-type ATPase, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0
V/A-type ATPase, prokaryotes	0	0	0	0	0	0	0	0	0	0	0	0
V-type ATPase, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0
Photosystem II	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome b6f complex	0	0	0	0	0	0	0	0	0	0	0	0
Photosystem I	0	0	0	0	0	0	0	0	0	0	0	0
Reductive pentose phosphate cycle (Calvin cycle)	7	7	8	12	7	7	8	10	7	8	7	7
Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	4	4	3	4	4	4	4	5	3	4	4	4
Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	3	3	5	8	3	3	4	5	4	4	3	3
CAM (Crassulacean acid metabolism), dark	1	1	1	2	1	2	1	1	2	1	0	1
CAM (Crassulacean acid metabolism), light	1	2	2	2	2	1	2	2	1	2	1	1
C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	1	1	1	2	0	1	1	1	2	1	1	1
C4-dicarboxylic acid cycle, NAD - malic enzyme type	1	2	2	3	2	3	2	2	3	2	1	1
C4-dicarboxylic acid cycle, NADP - malic enzyme type	1	2	2	3	2	2	2	2	2	2	1	1
Reductive citrate cycle (Arnon-Buchanan cycle)	26	32	39	42	32	27	37	32	31	36	18	32
Methane oxidation, methanotroph, methane => formaldehyde	1	0	2	3	1	1	2	1	1	2	1	2
Nitrogen fixation, nitrogen => ammonia	2	2	1	1	5	2	2	3	2	1	1	2
Assimilatory sulfate reduction, sulfate => H2S	4	6	5	10	5	2	9	7	4	8	4	8
Pyruvate oxidation, pyruvate => acetyl-CoA	11	11	11	11	11	5	11	11	11	11	11	11
Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	7	7	6	7	7	6	7	6	6	5	5	4
Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	4	7	4	8	2	3	4	7	6	3	1	3
Cysteine biosynthesis, homocysteine + serine => cysteine	3	3	3	3	3	3	3	3	3	3	2	3
Formaldehyde assimilation, xylulose monophosphate pathway	1	1	2	3	1	1	1	1	1	1	1	1
Formaldehyde assimilation, ribulose monophosphate pathway	6	6	5	7	6	5	6	7	7	6	4	6
Formaldehyde assimilation, serine pathway	5	6	8	9	5	8	7	6	6	7	3	5
Methanogenesis, methanol => methane	7	7	12	14	9	2	11	13	8	11	6	6
Methanogenesis, acetate => methane	9	12	14	15	9	5	12	14	9	12	9	8
Coenzyme M biosynthesis	2	2	1	3	2	1	2	3	0	2	0	2
EHEC pathogenicity signature, Shiga toxin	0	0	0	0	0	0	0	0	0	0	0	0
C10-C20 isoprenoid biosynthesis, bacteria	4	4	4	4	3	3	4	3	3	4	1	4
C10-C20 isoprenoid biosynthesis, archaea	2	2	2	2	1	1	2	1	1	2	1	2
C10-C20 isoprenoid biosynthesis, plants	2	2	2	2	1	1	2	1	1	2	1	2
C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	1	1	1	1	0	0	1	0	0	1	1	1
Ethylene biosynthesis, methionine => ethylene	3	3	3	3	3	3	3	3	3	3	2	3
Cyanogenic glycoside biosynthesis, tyrosine => dhurrin	0	0	0	0	0	0	0	0	0	0	0	0
Glucosinolate biosynthesis, tryptophan => glucobrassicin	0	0	0	0	0	0	0	0	0	0	0	0
Castasterone biosynthesis, campesterol => castasterone	0	0	0	0	0	0	0	0	0	0	0	0
Abscisic acid biosynthesis, beta-carotene => abscisic acid	0	0	0	0	0	0	0	0	0	0	0	0
Ethylmalonyl pathway	6	6	5	12	7	7	10	10	7	10	3	9
Dicarboxylate-hydroxybutyrate cycle	12	17	17	19	14	13	19	16	15	18	9	16
Hydroxypropionate-hydroxybutylate cycle	10	14	11	15	11	12	16	13	11	14	6	13
3-Hydroxypropionate bi-cycle	10	11	9	19	12	10	14	15	10	13	4	15
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	8	11	8	6	7	5	8	8	7	8	5	6
F420 biosynthesis, archaea	2	2	3	4	5	1	2	5	1	2	0	2
Fatty acid elongation in endoplasmic reticulum	1	1	1	1	1	1	1	1	1	1	1	1
Cytochrome aa3-600 menaquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome o ubiquinol oxidase	0	0	0	0	0	0	0	0	0	0	0	0
Toluene degradation, anaerobic, toluene => benzoyl-CoA	3	2	4	8	5	2	4	4	3	5	2	5
Cymene degradation, p-cymene => p-cumate	2	2	2	3	2	2	3	2	2	2	2	2
Acetyl-CoA pathway, CO2 => acetyl-CoA	2	4	2	1	0	0	1	1	1	1	3	1
Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4	4	4	4	3	4	4	4	2	4	1	4
Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	5	5	5	5	5	5	5	5	3	5	1	5
Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	9	9	9	9	8	9	9	9	8	9	4	9
Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	9	8	8	8	8	8	9	9	9	9	3	9
Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	10	10	10	10	9	10	10	10	9	10	4	10
Nitrification, ammonia => nitrite	0	0	1	1	0	0	1	0	0	1	0	0
Denitrification, nitrate => nitrogen	0	0	8	7	3	0	1	5	3	1	0	1
Dissimilatory nitrate reduction, nitrate => ammonia	1	1	8	9	4	1	4	5	4	4	1	2
Assimilatory nitrate reduction, nitrate => ammonia	1	2	3	4	4	1	1	4	3	1	1	1
Photorespiration	5	5	7	11	6	6	9	7	5	8	6	7
Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	1	1	2	3	1	2	2	4	1	1	1	1
Naphthalene degradation, naphthalene => salicylate	3	4	3	5	3	3	4	4	4	3	2	3
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	4	4	4	4	3	4	4	4	2	4	1	4
Xylene degradation, xylene => methylbenzoate	1	2	2	3	1	2	3	2	2	3	3	1
Toluene degradation, toluene => benzoate	2	3	2	3	2	3	3	2	3	3	3	1
Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	1	3	3	5	2	3	4	3	2	5	1	2
Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	2	2	4	5	4	2	5	4	1	5	1	5
Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	4	5	8	9	6	3	3	4	5	5	5	2
EHEC/EPEC pathogenicity signature, T3SS and effectors	0	0	0	0	0	0	0	0	0	0	0	0
Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	2	2	2	3	2	2	2	2	2	3	1	2
Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	1	1	3	3	0	1	1	1	0	2	1	1
Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	5	5	7	9	5	6	6	7	4	6	5	6
Purine degradation, xanthine => urea	4	13	3	15	3	3	4	12	13	3	3	3
Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol	1	2	2	2	2	2	2	2	2	2	2	2
Benzene degradation, benzene => catechol	1	1	1	1	1	1	1	1	1	1	1	1
Nucleotide sugar biosynthesis, glucose => UDP-glucose	4	5	4	4	5	4	5	4	4	4	4	4
Ascorbate degradation, ascorbate => D-xylulose-5P	2	4	4	7	4	3	3	4	4	3	3	2
Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	2	2	2	2	2	2	2	2	2	2	2	2
D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	4	3	3	5	3	3	4	3	3	4	2	3
Nucleotide sugar biosynthesis, galactose => UDP-galactose	2	2	0	2	1	2	1	2	2	1	2	1
Betaine biosynthesis, choline => betaine	3	2	3	4	2	2	3	3	4	3	3	3
Methanogenesis, methylamine/dimethylamine/trimethylamine => methane	9	9	12	16	11	2	13	15	10	13	6	8
Helicobacter pylori pathogenicity signature, cagA pathogenicity island	0	0	0	0	0	0	0	0	0	0	0	0
Trehalose biosynthesis, D-glucose 1P => trehalose	5	6	1	6	2	6	6	2	5	6	5	6
Methanogenesis, CO2 => methane	11	11	19	20	13	5	14	16	14	14	9	9
Catechol ortho-cleavage, catechol => 3-oxoadipate	2	2	3	3	2	3	3	3	3	3	3	3
Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	6	7	8	11	6	9	7	8	2	6	4	6
Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	8	8	8	8	7	7	8	8	4	5	1	8
Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	8	7	8	8	7	7	9	7	8	8	4	8
Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	4	4	3	4	3	3	4	4	4	3	2	4
Pertussis pathogenicity signature, pertussis toxin	0	0	0	0	0	0	0	0	0	0	0	0
Pertussis pathogenicity signature, T1SS	0	0	0	0	0	0	0	0	0	0	0	0
ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins	0	0	0	0	0	0	0	0	0	0	0	0
Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	5	5	4	6	3	4	6	6	5	5	2	6
Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	2	3	0	3	3	3	3	3	3	3	2	3
Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	3	3	4	5	3	4	4	4	5	4	1	3
Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	0	0	3	4	1	1	2	0	0	1	1	2
Dissimilatory sulfate reduction, sulfate => H2S	2	4	4	5	3	2	3	4	3	3	2	4
Anoxygenic photosystem II	0	0	0	0	0	0	0	0	0	0	0	0
Anoxygenic photosystem I	0	0	0	0	0	0	0	0	0	0	0	0
2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate	4	4	4	4	4	4	4	4	2	4	1	4
Cysteine biosynthesis, methionine => cysteine	6	6	5	6	5	6	5	5	6	5	5	6
Oxygenic photosynthesis in plants and cyanobacteria	8	8	7	11	8	7	9	10	8	9	7	8
Anoxygenic photosynthesis in purple bacteria	8	8	7	11	8	7	9	10	8	9	7	8
Anoxygenic photosynthesis in green nonsulfur bacteria	18	22	22	33	19	18	25	25	16	24	8	25
Anoxygenic photosynthesis in green sulfur bacteria	24	29	34	38	28	24	33	28	28	32	16	28
Nitrate assimilation	1	2	3	4	4	1	1	4	3	1	1	1
Sulfate-sulfur assimilation	4	6	5	10	5	2	9	7	4	8	4	8
Methanogen	15	18	16	21	17	8	18	18	15	18	8	13
Acetogen	10	13	7	9	10	8	10	10	9	10	7	8
Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	15	16	17	17	15	8	17	16	14	17	11	15
Nicotinate degradation, nicotinate => fumarate	1	4	5	5	3	2	2	5	4	2	2	2
Phthalate degradation, phthalate => protocatechuate	2	1	2	3	1	2	2	1	2	2	1	2
Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	0	0	1	2	0	0	2	0	0	2	0	2
Methicillin resistance	0	0	0	0	0	0	0	0	0	0	0	0
beta-Lactam resistance, Bla system	1	1	2	1	1	0	1	1	1	1	0	1
D-Galacturonate degradation (fungi), D-galacturonate => glycerol	0	1	0	1	0	0	1	0	1	1	0	1
D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	3	7	4	7	2	2	7	4	7	7	1	1
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	4	4	1	4	2	4	3	3	4	3	4	3
Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P	5	5	5	5	4	4	5	5	4	3	3	3
Phthalate degradation, phthalate => protocatechuate	1	1	2	3	1	2	2	1	1	1	2	2
Anthranilate degradation, anthranilate => catechol	2	2	3	3	2	2	2	2	2	2	2	2
Salicylate degradation, salicylate => gentisate	1	1	1	2	1	1	1	1	1	1	1	1
Multidrug resistance, efflux pump MexCD-OprJ	0	0	0	0	0	0	0	0	0	0	0	0
