ko	pathway	ERR1995239_bin.1	ERR1995239_bin.10	ERR1995239_bin.11	ERR1995239_bin.12	ERR1995239_bin.13	ERR1995239_bin.14	ERR1995239_bin.15	ERR1995239_bin.16	ERR1995239_bin.17	ERR1995239_bin.18	ERR1995239_bin.19	ERR1995239_bin.2	ERR1995239_bin.20	ERR1995239_bin.21	ERR1995239_bin.22	ERR1995239_bin.23	ERR1995239_bin.24	ERR1995239_bin.25	ERR1995239_bin.26	ERR1995239_bin.27	ERR1995239_bin.28	ERR1995239_bin.29	ERR1995239_bin.3	ERR1995239_bin.30	ERR1995239_bin.31	ERR1995239_bin.32	ERR1995239_bin.4	ERR1995239_bin.5	ERR1995239_bin.6	ERR1995239_bin.7	ERR1995239_bin.8	ERR1995239_bin.9
ko00401	Novobiocin biosynthesis	14	12	12	15	14	11	13	14	14	15	14	15	14	14	15	13	15	16	12	14	14	14	15	15	15	14	14	15	14	14	15	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	4	5	2	5	6	0	5	4	5	0	5	3	3	7	6	5	3	5	2	3	4	5	5	2	4	1	4	7	5	6	3	3
ko00405	Phenazine biosynthesis	8	7	8	10	10	6	7	9	10	9	10	9	7	10	7	7	6	6	7	8	7	11	10	7	8	8	8	9	9	9	9	11
ko00410	beta-Alanine metabolism	17	28	20	20	20	11	19	24	23	17	25	26	22	25	18	14	18	20	18	21	18	16	20	17	18	14	25	18	21	21	17	18
ko00430	Taurine and hypotaurine metabolism	11	14	8	12	13	7	13	11	11	9	11	10	12	11	11	9	12	12	10	12	12	11	10	14	12	12	12	12	13	13	10	13
ko00440	Phosphonate and phosphinate metabolism	10	11	11	10	15	10	11	11	12	14	12	13	10	14	13	9	11	9	10	10	12	11	14	11	12	9	13	12	11	13	11	11
ko00450	Selenocompound metabolism	18	19	16	18	17	14	17	16	19	17	17	15	17	18	16	17	17	17	22	18	17	20	14	14	13	17	18	17	18	19	16	17
ko00460	Cyanoamino acid metabolism	5	9	6	8	8	2	8	6	8	4	10	7	7	9	7	6	6	10	6	7	6	9	5	8	8	8	8	7	8	9	6	7
ko00470	D-Amino acid metabolism	27	30	23	25	28	22	26	24	28	23	29	28	26	30	25	22	30	29	24	25	26	24	22	24	25	24	26	27	26	29	22	25
ko00480	Glutathione metabolism	7	8	7	11	7	5	12	7	12	8	11	11	8	9	8	6	11	9	8	8	6	13	13	10	7	7	6	7	12	7	6	8
ko00500	Starch and sucrose metabolism	34	44	42	42	41	11	50	46	47	48	50	37	46	43	48	36	42	34	49	44	35	54	37	43	37	43	45	34	44	42	42	42
ko00510	N-Glycan biosynthesis	2	2	4	4	2	2	3	2	2	4	2	4	2	2	3	2	2	3	1	2	3	5	2	2	3	3	2	2	2	2	3	3
ko00511	Other glycan degradation	2	3	4	7	2	1	2	2	8	3	6	1	3	8	2	2	6	0	3	2	0	6	0	6	5	2	2	0	3	2	3	4
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	0	1	3	2	0	0	1	0	2	1	1	1	0	2	1	0	1	0	0	0	1	4	0	1	2	1	0	0	0	0	0	0
ko00514	Other types of O-glycan biosynthesis	1	1	1	1	1	1	1	1	1	1	1	0	0	1	2	0	1	1	0	0	1	1	2	1	1	0	1	1	1	1	1	1
ko00515	Mannose type O-glycan biosynthesis	0	1	0	1	1	1	1	0	2	0	0	0	0	2	2	1	0	0	0	0	1	1	2	0	1	0	0	1	0	1	1	0
ko00520	Amino sugar and nucleotide sugar metabolism	76	106	104	97	88	73	107	93	106	86	98	99	90	97	98	83	93	61	92	89	93	106	92	87	85	103	97	85	90	96	90	89
ko00521	Streptomycin biosynthesis	11	11	7	14	11	7	11	10	14	9	13	10	12	13	12	11	11	7	10	11	11	14	10	10	11	11	10	11	12	11	9	10
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	14	4	3	15	5	4	6	5	13	3	6	3	3	14	8	6	3	8	5	4	7	7	3	4	15	4	5	8	15	5	5	13
ko00523	Polyketide sugar unit biosynthesis	12	32	21	28	34	14	33	24	28	18	28	21	22	30	28	23	25	10	15	21	31	30	20	28	22	24	26	31	34	35	15	29
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	38	41	2	41	41	32	41	3	41	38	41	37	37	41	40	8	39	34	37	38	41	41	5	38	38	35	36	7	40	37	39	34
ko00525	Acarbose and validamycin biosynthesis	13	17	14	16	18	9	15	13	19	14	16	16	17	17	15	15	15	11	16	12	17	17	17	18	15	15	15	16	16	17	18	14
ko00531	Glycosaminoglycan degradation	2	4	5	10	2	0	8	3	10	3	10	2	1	9	3	1	8	2	1	3	2	9	2	9	9	2	3	0	3	1	2	2
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	27	22	23	31	19	25	21	17	33	23	34	32	22	36	27	19	21	18	18	20	25	32	27	22	26	21	21	22	28	23	20	23
ko00541	O-Antigen nucleotide sugar biosynthesis	41	56	48	53	51	45	56	44	57	38	55	52	45	50	54	44	43	27	45	45	49	56	53	48	41	50	49	48	51	52	40	45
ko00542	O-Antigen repeat unit biosynthesis	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko00550	Peptidoglycan biosynthesis	19	20	21	23	20	19	21	20	22	20	20	20	19	24	20	20	20	19	21	19	26	24	20	26	18	20	20	20	21	19	18	21
ko00552	Teichoic acid biosynthesis	12	16	13	13	12	7	14	12	13	12	14	14	12	12	16	12	16	12	10	10	15	17	15	16	12	13	16	13	13	16	11	13
ko00561	Glycerolipid metabolism	25	29	25	22	28	13	29	28	25	30	25	23	27	30	29	24	28	25	26	26	25	27	22	31	18	28	30	26	24	27	25	33
ko00562	Inositol phosphate metabolism	13	16	10	18	17	6	15	10	21	13	19	16	14	19	20	15	22	10	15	12	16	21	16	16	16	13	14	17	16	18	14	15
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	36	31	34	32	34	23	34	30	28	34	36	31	33	40	33	34	28	33	24	31	26	35	31	29	34	33	34	33	37	34	28	31
ko00565	Ether lipid metabolism	3	3	3	3	3	2	5	2	4	3	5	3	6	7	4	4	1	3	1	4	1	4	4	2	5	5	4	5	4	4	4	2
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	3	4	3	3	4	3	4	4	4	4	4	4	4	4	4	4	3	4	5	4	3	4	4	4	3	3	3	4	4	3
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	4	3	5	5	2	5	3	5	4	5	3	4	5	4	4	3	3	3	5	4	5	4	3	4	5	4	4	5	4	4	4
ko00590	Arachidonic acid metabolism	4	4	3	3	2	3	4	2	4	3	5	4	4	7	2	2	2	3	2	2	2	3	3	3	3	4	2	2	4	2	2	3
ko00591	Linoleic acid metabolism	1	2	1	2	2	3	3	2	2	2	3	3	2	4	2	2	2	1	2	2	2	2	3	2	2	3	2	2	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	2	3	1	1	1	3	3	1	1	1	2	4	3	3	0	2	0	2	1	2	2	1	2	0	1	2	2	1	1	1	1	1
ko00600	Sphingolipid metabolism	8	9	9	12	6	1	8	6	13	9	12	3	8	13	7	7	11	8	5	5	5	12	4	12	11	6	8	5	7	5	5	10
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	1	2	2	2	1	0	3	1	2	2	3	0	1	2	2	0	2	1	1	1	1	2	1	3	2	1	1	1	1	0	1	2
ko00604	Glycosphingolipid biosynthesis - ganglio series	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
ko00620	Pyruvate metabolism	64	75	64	71	72	30	67	70	76	68	76	76	67	79	71	56	70	63	59	66	72	74	66	71	71	65	73	71	72	72	69	74
ko00621	Dioxin degradation	11	6	2	7	7	1	5	7	7	8	9	8	6	8	9	5	7	5	3	5	5	7	5	9	6	8	6	6	9	7	5	9
ko00622	Xylene degradation	16	14	7	17	11	5	11	10	18	14	18	19	11	19	14	10	13	11	9	10	12	18	15	17	15	12	11	9	15	15	12	16
ko00623	Toluene degradation	17	15	12	20	12	8	14	12	23	14	23	24	13	22	11	11	16	14	15	10	12	20	13	15	20	12	13	11	19	12	14	17
ko00624	Polycyclic aromatic hydrocarbon degradation	12	11	11	13	11	7	10	9	15	11	15	14	10	15	14	7	12	11	12	7	10	13	11	12	15	11	11	10	14	11	13	12
ko00625	Chloroalkane and chloroalkene degradation	14	18	12	15	14	6	15	12	15	14	16	17	14	16	13	8	17	11	14	11	12	17	12	16	13	13	11	11	17	15	13	19
ko00626	Naphthalene degradation	19	10	10	9	11	5	10	9	11	8	10	11	10	11	10	7	11	8	12	8	10	11	11	10	20	9	8	8	10	12	9	10
ko00627	Aminobenzoate degradation	28	22	24	26	25	14	22	26	29	20	28	35	24	32	22	25	22	29	20	22	26	26	25	23	25	27	27	21	25	28	23	27
ko00630	Glyoxylate and dicarboxylate metabolism	53	65	51	64	57	30	58	53	64	51	66	71	55	64	55	53	52	58	52	56	53	68	56	52	59	55	61	57	56	60	51	55
ko00633	Nitrotoluene degradation	14	12	8	15	13	2	8	8	15	12	14	12	11	11	11	9	15	10	14	10	13	13	11	11	9	11	11	12	13	12	8	11
ko00640	Propanoate metabolism	58	64	46	62	57	24	60	58	65	53	58	63	55	67	55	49	57	63	49	61	56	57	52	49	47	51	64	55	61	60	50	60
ko00642	Ethylbenzene degradation	5	5	4	5	5	3	3	4	5	5	4	4	3	5	4	3	3	3	5	3	3	6	4	4	3	5	5	4	6	5	4	6
ko00643	Styrene degradation	9	7	5	9	6	6	3	6	10	3	9	10	6	9	6	7	6	10	6	6	5	7	9	7	5	6	6	7	7	10	6	9
ko00650	Butanoate metabolism	56	60	45	64	55	21	59	55	71	47	64	66	60	67	54	52	58	61	52	54	53	58	59	50	58	48	60	51	63	63	49	64
ko00660	C5-Branched dibasic acid metabolism	8	11	6	11	11	3	16	10	11	9	10	19	11	12	10	10	10	9	5	12	9	11	10	9	10	14	9	9	11	10	10	10
ko00670	One carbon pool by folate	27	22	19	23	25	13	16	18	28	16	22	19	12	23	16	20	15	24	21	20	17	28	15	18	20	20	24	24	21	24	22	16
ko00680	Methane metabolism	80	87	73	90	85	42	74	79	88	83	85	90	77	91	73	78	84	73	85	73	83	92	77	73	74	81	79	83	85	88	79	89
ko00710	Carbon fixation in photosynthetic organisms	15	16	12	15	14	15	13	13	16	13	15	16	15	17	16	15	14	12	17	14	16	18	14	16	16	13	15	15	14	15	12	13
ko00720	Carbon fixation pathways in prokaryotes	69	70	59	75	73	26	68	62	77	66	72	78	65	78	64	62	64	62	61	67	69	72	61	62	64	62	75	70	72	75	66	74
ko00730	Thiamine metabolism	19	21	22	20	22	11	19	21	19	18	20	20	22	19	19	20	18	18	18	20	21	21	18	18	17	20	20	19	20	23	20	18
ko00740	Riboflavin metabolism	29	29	20	30	30	20	18	24	32	27	30	24	22	31	24	17	20	21	18	18	20	28	25	20	18	21	32	29	28	30	17	24
ko00750	Vitamin B6 metabolism	13	12	9	11	10	7	10	10	13	10	12	9	10	13	9	8	10	10	10	8	8	13	11	10	12	9	11	11	10	10	9	10
ko00760	Nicotinate and nicotinamide metabolism	37	38	32	34	33	19	51	33	39	36	40	40	46	42	42	47	36	48	53	43	33	38	39	36	39	48	48	34	36	49	31	33
ko00770	Pantothenate and CoA biosynthesis	23	29	27	29	28	16	26	26	29	24	27	28	26	30	28	17	24	19	17	26	23	30	29	22	21	26	29	27	28	26	24	26
ko00780	Biotin metabolism	15	15	15	17	15	13	16	14	17	15	18	16	14	18	12	11	13	14	14	16	15	18	17	13	15	15	16	16	18	14	15	16
ko00785	Lipoic acid metabolism	3	1	1	5	1	0	0	1	3	0	4	1	0	3	0	5	0	5	0	0	0	4	4	5	4	0	1	1	0	1	1	0
ko00790	Folate biosynthesis	48	34	43	48	46	39	29	31	47	26	48	41	28	48	28	28	34	36	44	29	26	46	40	45	39	29	53	36	45	37	34	31
ko00791	Atrazine degradation	2	4	5	1	4	6	4	6	1	3	1	6	1	2	6	5	6	4	4	1	7	2	5	6	5	1	6	5	1	8	7	6
ko00830	Retinol metabolism	7	8	7	8	8	5	8	7	8	6	8	8	8	8	6	8	7	6	8	7	8	8	8	8	8	7	6	6	8	8	7	8
ko00860	Porphyrin metabolism	52	73	59	60	66	68	62	63	65	63	52	73	53	67	47	46	48	40	47	48	52	72	41	42	45	65	72	64	60	56	61	64
ko00900	Terpenoid backbone biosynthesis	27	29	28	31	26	27	29	27	31	28	29	29	26	31	26	26	28	25	25	28	30	29	30	28	29	28	30	28	28	26	22	28
ko00901	Indole alkaloid biosynthesis	0	1	3	0	1	2	0	0	1	1	1	1	2	1	1	0	2	0	2	0	1	0	1	1	1	2	0	1	0	2	0	0
ko00902	Monoterpenoid biosynthesis	6	6	5	8	5	3	7	5	8	6	8	5	5	8	6	6	6	6	5	8	5	8	3	6	7	8	5	5	5	6	6	6
ko00903	Limonene and pinene degradation	6	10	7	9	6	4	10	10	9	5	10	9	8	9	6	9	7	10	8	9	6	6	5	7	8	6	10	7	10	8	6	7
ko00904	Diterpenoid biosynthesis	5	5	0	5	5	0	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	5	5	5	6	5	5	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	14	13	13	13	13	9	13	13	15	12	13	14	13	13	14	14	14	14	13	13	14	12	15	13	13	13	13	13	13	13	14	12
ko00908	Zeatin biosynthesis	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	0	1	0	1	1	1	1	0	1	2	1	1	0	1	1	2	1	0	0	1	2	1	1	1	1	0	1	1	1	1	1	0
ko00910	Nitrogen metabolism	15	20	10	21	19	14	16	13	19	15	15	21	17	22	15	13	14	17	21	17	16	26	17	13	15	16	18	18	16	19	16	20
ko00920	Sulfur metabolism	44	42	29	53	39	20	40	39	51	41	48	39	39	50	38	37	40	35	42	37	39	50	33	36	36	36	41	39	45	38	33	41
ko00930	Caprolactam degradation	7	11	8	11	9	3	11	7	16	6	15	11	12	15	10	9	8	10	12	11	7	10	6	9	10	6	12	6	10	15	4	6
ko00940	Phenylpropanoid biosynthesis	4	2	2	2	2	1	1	2	3	1	2	2	1	2	1	1	1	2	0	1	1	3	2	1	2	1	2	2	2	2	0	1
ko00941	Flavonoid biosynthesis	1	1	1	1	1	0	0	1	1	0	1	0	0	4	0	0	0	0	0	0	0	1	4	0	1	0	1	1	1	1	0	0
ko00942	Anthocyanin biosynthesis	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	0	1
ko00944	Flavone and flavonol biosynthesis	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	2	2	2	2	1	1	2	2	0	2	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	2	1	1
ko00950	Isoquinoline alkaloid biosynthesis	6	7	7	7	7	6	8	7	7	7	7	6	7	7	7	6	7	6	6	6	6	7	6	7	6	7	6	6	6	6	7	7
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	9	11	9	10	10	10	10	10	10	10	10	11	10	10	9	9	11	10	8	10	9	10	9	9	9	10	9	10	10	11	10	10
ko00965	Betalain biosynthesis	4	1	2	4	1	0	0	1	4	3	4	3	1	4	0	0	3	0	0	0	0	3	1	3	4	1	1	1	4	1	0	3
ko00966	Glucosinolate biosynthesis	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	31	31	33	30	34	33	33	32	30	31	30	37	30	30	33	30	36	28	37	31	36	30	36	35	31	30	35	30	29	34	36	34
ko00980	Metabolism of xenobiotics by cytochrome P450	4	8	5	7	7	3	7	5	8	4	8	6	7	8	6	6	8	3	7	5	8	7	7	8	7	6	6	5	7	7	6	7
ko00981	Insect hormone biosynthesis	0	2	1	1	1	0	1	1	1	1	2	1	2	1	1	0	1	1	1	1	1	1	2	1	1	2	1	2	2	2	1	1
ko00982	Drug metabolism - cytochrome P450	3	6	4	4	6	2	4	5	5	3	5	5	4	5	3	4	6	2	5	3	6	4	5	5	5	3	4	3	5	5	4	5
ko00983	Drug metabolism - other enzymes	13	16	13	17	15	11	16	12	17	12	15	14	15	15	15	15	13	15	13	15	12	15	14	14	15	15	16	12	15	14	14	13
ko00984	Steroid degradation	11	8	9	10	9	5	8	8	9	8	9	9	8	10	8	9	8	8	6	8	6	10	8	7	8	7	9	8	10	9	8	8
ko00996	Biosynthesis of various alkaloids	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0
ko00997	Biosynthesis of various other secondary metabolites	6	7	3	6	4	3	4	4	4	4	4	6	4	5	5	4	5	3	6	4	5	5	3	4	2	4	4	4	4	5	4	4
