ko	pathway	ERR1995238_bin.1	ERR1995238_bin.10	ERR1995238_bin.2	ERR1995238_bin.3	ERR1995238_bin.4	ERR1995238_bin.5	ERR1995238_bin.6	ERR1995238_bin.7	ERR1995238_bin.8	ERR1995238_bin.9
ko01040	Biosynthesis of unsaturated fatty acids	3	6	5	2	3	7	4	3	3	2
ko01051	Biosynthesis of ansamycins	3	10	4	6	10	10	8	8	9	4
ko01052	Type I polyketide structures	3	14	4	3	15	15	5	13	6	2
ko01053	Biosynthesis of siderophore group nonribosomal peptides	9	12	8	7	7	15	10	12	12	7
ko01054	Nonribosomal peptide structures	1	1	1	1	1	1	1	1	1	0
ko01055	Biosynthesis of vancomycin group antibiotics	10	12	11	6	7	11	9	11	11	4
ko01056	Biosynthesis of type II polyketide backbone	4	4	4	4	4	5	4	4	3	2
ko01057	Biosynthesis of type II polyketide products	13	24	14	14	15	49	17	18	17	4
ko01059	Biosynthesis of enediyne antibiotics	18	24	18	19	25	27	26	29	26	9
ko01100	Metabolic pathways	1519	2286	1311	1417	1649	2157	1785	1873	1836	1024
ko01110	Biosynthesis of secondary metabolites	637	975	552	637	792	964	822	861	840	436
ko01120	Microbial metabolism in diverse environments	524	893	453	483	536	807	564	609	612	317
ko01200	Carbon metabolism	189	261	172	174	188	251	207	220	229	120
ko01210	2-Oxocarboxylic acid metabolism	45	52	28	52	50	52	52	52	52	18
ko01212	Fatty acid metabolism	40	43	41	29	35	44	34	40	40	7
ko01220	Degradation of aromatic compounds	67	156	64	76	89	130	81	94	87	46
ko01230	Biosynthesis of amino acids	171	204	127	183	188	194	200	199	199	115
ko01232	Nucleotide metabolism	53	77	35	40	56	65	56	59	56	51
ko01240	Biosynthesis of cofactors	216	270	192	174	221	256	247	244	238	121
ko01250	Biosynthesis of nucleotide sugars	109	130	114	89	122	116	133	134	129	86
ko01501	beta-Lactam resistance	5	9	2	4	2	4	7	8	7	3
ko01502	Vancomycin resistance	7	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	9	12	6	7	11	12	10	10	8	8
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	4	3	4	4	4	4	4	4	1
ko01524	Platinum drug resistance	0	1	0	0	0	1	0	0	0	0
ko02010	ABC transporters	0	1	0	0	0	1	0	0	0	0
ko02020	Two-component system	22	43	22	13	25	42	27	28	27	12
ko02024	Quorum sensing	15	28	15	13	17	28	22	21	20	10
ko02025	Biofilm formation - Pseudomonas aeruginosa	7	9	7	4	7	9	8	8	8	5
ko02026	Biofilm formation - Escherichia coli	2	4	2	3	2	5	3	3	2	2
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	23	59	20	1	10	56	3	3	3	10
ko03008	Ribosome biogenesis in eukaryotes	0	1	1	0	1	1	1	1	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	2	2	3	3	3	3	3	2
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	2	2	2	2	2	2
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	1	1	0	1	1	1	1	1	0
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	7	7	7	4	8	7	7	7	7	4
ko03410	Base excision repair	1	1	1	1	1	1	1	1	1	1
ko03420	Nucleotide excision repair	1	1	1	1	1	1	1	1	1	1
ko03430	Mismatch repair	1	1	1	1	1	1	1	1	1	1
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	0	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	0	1	0	0	0	1	0	0	1	0
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	0	0	0	1	1	0	1	1	1	1
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	1	3	0	1	1	3	1	2	2	1
ko04020	Calcium signaling pathway	1	2	0	1	1	2	1	1	1	0
ko04022	cGMP-PKG signaling pathway	0	1	0	0	0	1	0	0	0	0
ko04024	cAMP signaling pathway	1	0	1	1	1	0	1	1	1	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	9	10	6	6	6	10	7	7	9	4
ko04068	FoxO signaling pathway	1	1	0	0	1	1	0	0	1	0
ko04070	Phosphatidylinositol signaling system	2	6	0	2	5	5	5	5	4	6
ko04071	Sphingolipid signaling pathway	2	2	1	5	3	2	4	3	3	1
ko04072	Phospholipase D signaling pathway	3	2	0	4	4	1	4	4	3	3
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	3	2	2	2	3	2	2	2	3
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	12	16	10	8	9	16	10	9	12	8
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	1	8	0	1	10	4	12	13	13	1
ko04144	Endocytosis	0	0	0	1	1	0	1	1	1	1
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	11	18	8	7	8	17	9	8	8	5
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	0	1	0	0	1	1	0	0	0	0
ko04152	AMPK signaling pathway	2	3	1	1	2	2	1	1	2	1
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	0	1	0	0	0	1	0	0	1	0
ko04212	Longevity regulating pathway - worm	0	4	0	0	0	4	1	0	1	0
ko04213	Longevity regulating pathway - multiple species	0	1	0	0	0	1	0	0	1	0
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	1	2	1	2	2	2	2	2	2	2
ko04217	Necroptosis	2	3	2	3	3	3	3	3	3	2
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0	0	0	0
ko04361	Axon regeneration	2	2	1	1	1	1	1	2	0	1
ko04370	VEGF signaling pathway	1	1	0	1	1	1	1	1	1	0
ko04371	Apelin signaling pathway	1	2	0	1	1	2	1	1	1	0
ko04380	Osteoclast differentiation	0	0	0	0	0	0	1	1	1	0
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0	0	0	0
ko04611	Platelet activation	0	1	0	0	0	1	0	0	0	0
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	1	1	0	0	0	0	0	0	0	0
ko04622	RIG-I-like receptor signaling pathway	0	1	1	0	0	1	0	0	0	0
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0
ko04624	Toll and Imd signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04625	C-type lectin receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04626	Plant-pathogen interaction	1	1	1	1	1	1	1	1	1	1
ko04630	JAK-STAT signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04640	Hematopoietic cell lineage	0	0	0	0	0	0	0	0	0	0
ko04650	Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	0	0
ko04657	IL-17 signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04658	Th1 and Th2 cell differentiation	0	0	0	0	0	0	0	0	0	0
ko04659	Th17 cell differentiation	0	0	0	0	0	0	0	0	0	0
ko04660	T cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04662	B cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04664	Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04666	Fc gamma R-mediated phagocytosis	1	0	0	2	2	0	2	2	2	1
ko04668	TNF signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04670	Leukocyte transendothelial migration	0	0	0	0	0	0	0	0	0	0
ko04672	Intestinal immune network for IgA production	0	0	0	0	0	0	0	0	0	0
ko04710	Circadian rhythm	0	0	0	0	0	0	0	0	0	0
ko04711	Circadian rhythm - fly	0	0	0	0	0	0	0	0	0	0
ko04712	Circadian rhythm - plant	0	0	0	0	0	0	0	0	0	0
ko04713	Circadian entrainment	0	0	0	0	0	0	0	0	0	0
ko04714	Thermogenesis	1	3	1	1	3	3	2	2	3	2
ko04720	Long-term potentiation	0	0	0	0	0	0	0	0	0	0
ko04721	Synaptic vesicle cycle	0	0	0	0	0	0	0	0	0	0
ko04722	Neurotrophin signaling pathway	0	0	0	0	0	0	0	0	0	0
ko04723	Retrograde endocannabinoid signaling	1	2	0	0	2	2	1	2	1	1
ko04724	Glutamatergic synapse	1	2	2	2	3	2	3	3	3	2
ko04725	Cholinergic synapse	0	0	0	0	0	0	0	0	0	0
ko04726	Serotonergic synapse	2	2	2	1	1	2	1	2	1	1
ko04727	GABAergic synapse	3	5	4	3	4	5	4	4	4	2
ko04728	Dopaminergic synapse	3	3	2	2	2	3	2	3	2	1
ko04730	Long-term depression	0	0	0	0	0	0	0	0	0	0
ko04740	Olfactory transduction	0	0	0	0	0	0	0	0	0	0
ko04742	Taste transduction	0	0	0	0	0	0	0	0	0	0
ko04744	Phototransduction	0	0	0	0	0	0	0	0	0	0
ko04745	Phototransduction - fly	0	0	0	0	0	0	0	0	0	0
ko04750	Inflammatory mediator regulation of TRP channels	0	0	0	0	0	0	0	0	0	0
ko04810	Regulation of actin cytoskeleton	0	0	0	0	0	0	0	0	0	0
ko04910	Insulin signaling pathway	1	2	1	1	2	1	1	1	2	1
ko04911	Insulin secretion	0	0	0	0	0	0	0	0	0	0
ko04912	GnRH signaling pathway	0	0	0	1	1	0	1	1	1	1
ko04913	Ovarian steroidogenesis	0	0	0	0	0	0	0	0	0	0
ko04914	Progesterone-mediated oocyte maturation	0	0	0	0	0	0	0	0	0	0
ko04915	Estrogen signaling pathway	0	1	0	0	0	1	0	0	0	0
ko04916	Melanogenesis	0	0	0	0	0	0	0	0	0	0
ko04917	Prolactin signaling pathway	1	1	1	1	0	1	0	0	0	1
ko04918	Thyroid hormone synthesis	2	2	1	1	1	2	2	2	2	1
ko04919	Thyroid hormone signaling pathway	1	1	1	1	1	1	1	1	1	1
ko04920	Adipocytokine signaling pathway	0	2	0	2	3	2	2	2	2	2
ko04921	Oxytocin signaling pathway	0	1	0	0	0	1	0	0	0	0
ko04922	Glucagon signaling pathway	7	8	6	6	7	7	7	7	7	5
ko04923	Regulation of lipolysis in adipocytes	1	2	0	0	2	2	1	1	1	1
ko04924	Renin secretion	0	0	0	0	0	0	0	0	0	0
ko04925	Aldosterone synthesis and secretion	0	0	0	0	0	0	0	0	0	0
ko04926	Relaxin signaling pathway	0	2	0	0	0	2	0	0	0	0
ko04927	Cortisol synthesis and secretion	0	0	0	0	0	0	0	0	0	0
ko04928	Parathyroid hormone synthesis, secretion and action	0	0	0	1	1	0	1	1	1	1
ko04929	GnRH secretion	0	0	0	0	0	0	0	0	0	0
