ko	pathway	ERR1995248_bin.1	ERR1995248_bin.10	ERR1995248_bin.11	ERR1995248_bin.12	ERR1995248_bin.13	ERR1995248_bin.2	ERR1995248_bin.3	ERR1995248_bin.4	ERR1995248_bin.5	ERR1995248_bin.6	ERR1995248_bin.7	ERR1995248_bin.8	ERR1995248_bin.9
ko00300	Lysine biosynthesis	40	40	41	39	39	40	41	40	34	33	40	40	41
ko00310	Lysine degradation	17	24	21	24	21	26	29	17	14	21	23	21	24
ko00311	Penicillin and cephalosporin biosynthesis	5	5	5	5	4	4	5	5	6	3	4	5	5
ko00330	Arginine and proline metabolism	36	44	38	53	46	42	55	42	39	44	48	36	46
ko00331	Clavulanic acid biosynthesis	4	3	3	3	4	3	4	3	2	2	2	2	3
ko00332	Carbapenem biosynthesis	8	10	9	5	9	9	12	7	6	7	7	5	8
ko00333	Prodigiosin biosynthesis	16	10	16	13	14	11	17	14	9	13	16	14	15
ko00340	Histidine metabolism	30	25	30	27	21	25	28	24	16	18	25	28	29
ko00350	Tyrosine metabolism	30	27	30	29	30	27	35	26	25	23	28	27	34
ko00360	Phenylalanine metabolism	32	34	36	37	36	33	39	31	32	30	36	33	37
ko00361	Chlorocyclohexane and chlorobenzene degradation	15	16	14	13	14	16	20	16	14	11	15	14	14
ko00362	Benzoate degradation	47	50	57	64	55	53	73	39	38	45	63	50	63
ko00363	Bisphenol degradation	1	1	1	1	1	1	1	1	1	1	2	1	1
ko00364	Fluorobenzoate degradation	5	6	6	5	6	5	7	6	5	5	5	6	6
ko00365	Furfural degradation	4	2	2	5	2	5	8	4	2	6	4	2	2
ko00380	Tryptophan metabolism	19	24	22	28	22	24	31	21	24	19	23	21	25
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	46	42	53	47	50	48	52	50	42	41	50	48	53
ko00401	Novobiocin biosynthesis	14	13	14	14	14	12	16	14	15	13	15	15	14
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	5	5	11	5	3	6	9	6	14	4	5	6	12
ko00405	Phenazine biosynthesis	7	6	11	11	9	5	14	9	6	10	10	10	11
ko00410	beta-Alanine metabolism	16	20	21	23	25	21	24	19	15	22	27	22	25
ko00430	Taurine and hypotaurine metabolism	11	14	12	9	11	13	16	12	11	13	14	11	11
ko00440	Phosphonate and phosphinate metabolism	10	11	14	14	13	17	18	12	18	10	20	10	12
ko00450	Selenocompound metabolism	17	17	19	22	17	17	25	19	15	22	16	19	19
ko00460	Cyanoamino acid metabolism	6	9	9	9	7	9	11	7	13	5	9	7	10
ko00470	D-Amino acid metabolism	24	30	26	31	25	26	30	26	26	24	29	24	28
ko00480	Glutathione metabolism	10	9	11	11	9	11	26	8	10	12	12	11	14
ko00500	Starch and sucrose metabolism	43	44	49	22	46	49	54	47	50	19	18	43	46
ko00510	N-Glycan biosynthesis	2	2	4	2	3	2	2	4	4	4	4	2	3
ko00511	Other glycan degradation	4	7	6	1	7	0	4	5	2	0	0	6	7
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	1	2	2	2	2	0	0	3	2	1	1	1	3
ko00514	Other types of O-glycan biosynthesis	1	0	1	1	1	0	1	1	2	1	0	1	1
ko00515	Mannose type O-glycan biosynthesis	0	0	0	0	0	0	0	0	3	0	0	1	0
ko00520	Amino sugar and nucleotide sugar metabolism	93	100	101	90	104	99	113	108	108	94	95	100	107
ko00521	Streptomycin biosynthesis	12	13	14	12	12	10	13	10	12	10	10	13	15
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	14	6	15	5	17	6	17	6	5	6	6	6	7
ko00523	Polyketide sugar unit biosynthesis	26	38	32	27	22	24	31	21	34	22	26	28	32
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	40	11	41	42	8	41	45	9	10	39	40	9	42
ko00525	Acarbose and validamycin biosynthesis	16	18	17	14	16	17	19	16	16	10	12	16	18
ko00531	Glycosaminoglycan degradation	9	9	10	7	9	5	7	3	7	2	2	10	10
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	1	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	32	21	32	23	36	19	35	21	22	31	34	35	33
ko00541	O-Antigen nucleotide sugar biosynthesis	50	55	54	52	54	47	57	51	56	53	53	55	57
ko00542	O-Antigen repeat unit biosynthesis	2	1	2	1	2	2	2	2	1	2	2	2	2
ko00550	Peptidoglycan biosynthesis	19	21	23	19	23	25	20	21	25	19	20	23	21
ko00552	Teichoic acid biosynthesis	16	11	14	11	13	9	13	12	14	13	15	14	14
ko00561	Glycerolipid metabolism	28	29	29	22	25	26	34	27	27	22	26	25	26
ko00562	Inositol phosphate metabolism	20	22	19	19	19	17	23	16	20	11	13	17	22
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	37	31	37	35	30	26	43	30	31	33	32	34	37
ko00565	Ether lipid metabolism	6	5	4	3	5	1	4	2	4	0	2	4	4
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	5	3	5	4	4	3	3	4	4	4	5
ko00572	Arabinogalactan biosynthesis - Mycobacterium	5	5	5	3	5	4	5	3	5	3	3	4	5
ko00590	Arachidonic acid metabolism	3	3	4	2	6	4	7	3	4	3	3	4	3
ko00591	Linoleic acid metabolism	2	2	2	2	3	1	3	1	2	2	2	2	2
ko00592	alpha-Linolenic acid metabolism	1	1	2	3	2	2	3	2	0	1	2	1	1
ko00600	Sphingolipid metabolism	12	11	14	4	13	5	9	12	9	5	6	12	14
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0	0	1	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2	3	2	1	2	1	2	3	1	0	0	2	2
ko00604	Glycosphingolipid biosynthesis - ganglio series	1	1	1	1	1	0	0	1	0	0	0	1	1
ko00620	Pyruvate metabolism	80	76	78	72	76	70	96	75	73	72	79	79	78
ko00621	Dioxin degradation	10	5	7	6	7	9	10	7	6	6	10	6	7
ko00622	Xylene degradation	17	16	17	17	16	18	22	15	14	14	20	15	19
ko00623	Toluene degradation	19	18	21	23	22	17	27	15	16	14	20	18	21
ko00624	Polycyclic aromatic hydrocarbon degradation	13	14	14	14	15	16	20	11	14	11	13	10	15
ko00625	Chloroalkane and chloroalkene degradation	18	16	16	14	14	16	22	16	14	12	18	13	15
ko00626	Naphthalene degradation	20	11	12	11	11	13	14	10	12	10	10	10	12
ko00627	Aminobenzoate degradation	30	25	26	40	24	36	49	28	32	27	36	25	29
ko00630	Glyoxylate and dicarboxylate metabolism	61	63	70	64	63	55	79	62	63	57	69	63	70
ko00633	Nitrotoluene degradation	14	13	13	17	15	14	19	11	12	14	16	12	14
ko00640	Propanoate metabolism	60	62	68	59	67	56	75	58	50	60	71	68	70
ko00642	Ethylbenzene degradation	5	5	5	7	5	5	7	5	3	5	5	4	5
ko00643	Styrene degradation	8	11	8	9	7	10	14	6	7	5	15	7	9
ko00650	Butanoate metabolism	58	67	64	61	67	66	80	59	53	55	69	61	68
ko00660	C5-Branched dibasic acid metabolism	10	17	13	10	8	10	19	11	9	10	20	14	12
ko00670	One carbon pool by folate	25	17	27	14	21	20	22	23	20	13	20	27	26
ko00680	Methane metabolism	87	85	97	105	84	91	120	88	78	85	96	88	98
ko00710	Carbon fixation in photosynthetic organisms	17	15	18	13	10	18	22	15	18	17	16	17	18
ko00720	Carbon fixation pathways in prokaryotes	71	75	81	76	74	62	94	75	71	68	76	79	84
ko00730	Thiamine metabolism	15	19	20	18	19	22	21	18	19	17	19	20	21
ko00740	Riboflavin metabolism	31	21	33	15	27	26	37	21	28	25	29	27	29
ko00750	Vitamin B6 metabolism	12	12	11	12	11	13	17	9	10	7	11	12	12
ko00760	Nicotinate and nicotinamide metabolism	35	44	40	47	34	52	63	51	41	42	37	36	45
ko00770	Pantothenate and CoA biosynthesis	24	23	28	22	27	22	31	29	26	29	31	28	28
ko00780	Biotin metabolism	16	13	18	15	15	15	18	15	10	16	16	18	18
ko00785	Lipoic acid metabolism	3	0	7	7	5	0	6	0	4	1	1	4	7
ko00790	Folate biosynthesis	48	26	52	44	44	33	57	49	29	44	45	45	50
ko00791	Atrazine degradation	2	5	1	7	2	6	7	4	7	3	6	2	1
ko00830	Retinol metabolism	8	8	8	8	7	8	8	8	8	7	7	8	8
ko00860	Porphyrin metabolism	53	75	61	61	66	54	75	66	47	67	81	53	61
ko00900	Terpenoid backbone biosynthesis	30	25	30	24	29	17	31	30	30	28	28	29	29
ko00901	Indole alkaloid biosynthesis	0	2	0	1	1	1	2	2	1	2	1	0	1
ko00902	Monoterpenoid biosynthesis	8	5	8	6	8	6	8	5	8	1	4	8	8
ko00903	Limonene and pinene degradation	8	9	9	10	9	10	11	6	7	6	8	9	9
ko00904	Diterpenoid biosynthesis	5	5	5	4	5	0	0	5	5	0	5	5	5
ko00905	Brassinosteroid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00906	Carotenoid biosynthesis	14	14	15	12	13	13	15	14	13	11	13	14	13
ko00908	Zeatin biosynthesis	1	2	1	1	1	1	2	1	2	1	2	1	1
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	1	1	1	1	1	0	2	1	1	2	1	1	1
ko00910	Nitrogen metabolism	14	21	27	26	19	18	32	19	16	25	25	20	26
ko00920	Sulfur metabolism	43	43	55	60	47	43	73	37	41	43	44	51	55
ko00930	Caprolactam degradation	9	15	12	14	15	16	17	8	13	8	10	11	14
ko00940	Phenylpropanoid biosynthesis	4	0	3	1	1	2	3	2	2	2	2	3	3
ko00941	Flavonoid biosynthesis	1	0	1	0	1	1	0	1	1	1	0	1	1
ko00942	Anthocyanin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	1
ko00943	Isoflavonoid biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1
ko00944	Flavone and flavonol biosynthesis	1	1	1	0	1	0	1	1	1	0	0	1	1
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2	1	2	1	1	2	1	2	2	2	1	2	2
ko00950	Isoquinoline alkaloid biosynthesis	7	7	7	7	7	6	6	7	7	6	6	7	7
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	9	13	10	11	10	11	13	9	11	11	11	10	10
ko00965	Betalain biosynthesis	4	1	4	3	4	2	4	1	1	2	0	1	4
ko00966	Glucosinolate biosynthesis	2	2	2	2	2	2	2	2	2	1	2	2	2
ko00970	Aminoacyl-tRNA biosynthesis	29	35	30	36	26	33	34	29	34	30	37	30	30
ko00980	Metabolism of xenobiotics by cytochrome P450	7	8	7	6	8	8	9	8	8	5	6	7	8
ko00981	Insect hormone biosynthesis	1	2	1	1	1	2	1	2	1	1	1	2	2
ko00982	Drug metabolism - cytochrome P450	4	5	4	5	5	5	6	5	5	4	5	4	5
ko00983	Drug metabolism - other enzymes	13	16	17	9	16	15	21	15	15	13	16	16	16
ko00984	Steroid degradation	11	9	10	10	9	10	10	9	10	7	9	10	10
ko00996	Biosynthesis of various alkaloids	0	1	1	1	1	1	1	0	0	1	1	1	1
ko00997	Biosynthesis of various other secondary metabolites	6	5	4	8	4	6	8	5	4	3	6	5	5
ko00998	Biosynthesis of various antibiotics	14	22	23	21	21	17	25	21	21	20	22	19	20
ko00999	Biosynthesis of various plant secondary metabolites	6	8	11	7	9	11	8	7	8	9	10	10	11
ko01040	Biosynthesis of unsaturated fatty acids	3	3	3	4	3	5	6	4	3	3	6	3	3
ko01051	Biosynthesis of ansamycins	9	9	8	5	9	8	10	7	10	6	7	8	9
ko01052	Type I polyketide structures	13	5	12	6	15	6	17	6	6	6	6	6	6
ko01053	Biosynthesis of siderophore group nonribosomal peptides	7	7	11	11	11	10	13	13	8	11	13	10	12
ko01054	Nonribosomal peptide structures	1	1	1	1	1	1	1	1	1	1	1	1	1
ko01055	Biosynthesis of vancomycin group antibiotics	9	12	10	11	10	7	13	5	6	12	11	11	10
ko01056	Biosynthesis of type II polyketide backbone	4	2	4	4	4	4	5	4	2	4	6	4	4
ko01057	Biosynthesis of type II polyketide products	15	18	19	18	16	19	32	20	15	16	18	15	16
ko01059	Biosynthesis of enediyne antibiotics	25	18	28	22	21	20	26	24	20	21	25	18	26
ko01100	Metabolic pathways	1641	1668	1836	1676	1660	1672	2185	1635	1602	1504	1708	1672	1850
ko01110	Biosynthesis of secondary metabolites	783	723	864	755	738	717	943	716	684	670	772	751	848
ko01120	Microbial metabolism in diverse environments	545	560	588	646	546	609	812	553	541	533	609	530	618
ko01200	Carbon metabolism	195	203	224	216	196	199	262	197	189	187	210	207	229
ko01210	2-Oxocarboxylic acid metabolism	50	47	52	50	48	51	52	53	39	35	52	52	52
ko01212	Fatty acid metabolism	35	20	39	39	37	32	44	30	20	35	43	37	40
ko01220	Degradation of aromatic compounds	91	81	84	91	83	92	115	72	77	69	87	70	90
ko01230	Biosynthesis of amino acids	187	183	200	178	179	198	205	195	165	156	193	193	199
ko01232	Nucleotide metabolism	53	54	59	47	53	60	78	60	58	56	52	53	57
ko01240	Biosynthesis of cofactors	217	208	244	219	223	197	267	223	185	226	241	226	242
ko01250	Biosynthesis of nucleotide sugars	114	128	126	113	117	107	131	110	124	116	119	122	131
ko01501	beta-Lactam resistance	7	5	7	4	3	4	4	3	5	3	2	8	7
ko01502	Vancomycin resistance	7	7	7	6	7	7	7	7	7	7	7	7	7
ko01503	Cationic antimicrobial peptide (CAMP) resistance	10	10	9	10	9	7	12	8	8	10	11	10	9
ko01521	EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01522	Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0
ko01523	Antifolate resistance	4	3	4	2	4	3	4	4	3	1	2	4	4
ko01524	Platinum drug resistance	0	0	0	0	0	0	1	0	0	0	0	0	0
ko02010	ABC transporters	0	1	0	0	0	0	1	0	0	1	1	0	0
ko02020	Two-component system	26	20	28	26	27	16	44	19	20	29	27	27	28
ko02024	Quorum sensing	16	14	21	15	18	12	27	17	12	15	16	18	20
ko02025	Biofilm formation - Pseudomonas aeruginosa	7	4	8	8	8	5	9	7	5	9	8	8	8
ko02026	Biofilm formation - Escherichia coli	2	2	2	2	2	4	5	4	3	2	1	1	2
ko02030	Bacterial chemotaxis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02040	Flagellar assembly	0	0	0	0	0	0	0	0	0	0	0	0	0
ko02060	Phosphotransferase system (PTS)	10	1	1	1	1	59	59	50	56	15	1	1	3
ko03008	Ribosome biogenesis in eukaryotes	1	0	1	0	1	1	1	1	1	1	0	1	1
ko03010	Ribosome	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03013	Nucleocytoplasmic transport	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03015	mRNA surveillance pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03018	RNA degradation	3	3	3	3	3	3	3	3	3	3	3	3	3
ko03020	RNA polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03022	Basal transcription factors	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	DNA replication	2	2	2	2	2	3	2	2	3	1	2	1	1
ko03040	Spliceosome	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03050	Proteasome	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03060	Protein export	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03070	Bacterial secretion system	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03230	Viral genome structure	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03240	Viral replication	1	0	1	0	1	0	0	1	0	0	0	1	1
ko03250	Viral life cycle - HIV-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03320	PPAR signaling pathway	8	4	7	8	6	5	8	5	4	4	8	7	7
ko03410	Base excision repair	1	1	1	1	1	2	1	1	2	0	1	0	0
ko03420	Nucleotide excision repair	1	1	1	1	1	2	1	1	2	0	1	0	0
ko03430	Mismatch repair	1	1	1	1	1	2	1	1	2	0	1	0	0
ko03440	Homologous recombination	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03450	Non-homologous end-joining	0	0	0	0	0	1	0	0	1	0	0	0	0
ko03460	Fanconi anemia pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04010	MAPK signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04011	MAPK signaling pathway - yeast	1	0	1	1	1	0	1	0	0	0	0	1	1
ko04012	ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04013	MAPK signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04014	Ras signaling pathway	1	1	1	0	0	0	0	0	1	0	0	1	1
ko04015	Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04016	MAPK signaling pathway - plant	2	1	3	2	3	2	3	1	1	2	2	3	3
ko04020	Calcium signaling pathway	1	1	1	0	1	0	2	1	0	0	0	0	1
ko04022	cGMP-PKG signaling pathway	0	0	0	0	0	0	1	0	0	0	0	0	0
ko04024	cAMP signaling pathway	1	1	1	1	0	1	0	0	1	0	1	1	1
ko04060	Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04061	Viral protein interaction with cytokine and cytokine receptor	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04062	Chemokine signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04064	NF-kappa B signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04066	HIF-1 signaling pathway	7	8	7	6	7	8	10	8	8	7	8	8	8
ko04068	FoxO signaling pathway	2	1	1	1	1	1	1	0	0	0	1	1	1
ko04070	Phosphatidylinositol signaling system	5	5	5	3	4	3	6	2	4	2	2	4	4
ko04071	Sphingolipid signaling pathway	3	2	4	0	1	1	1	2	3	2	2	2	3
ko04072	Phospholipase D signaling pathway	4	3	4	1	1	1	2	3	2	2	2	2	3
ko04075	Plant hormone signal transduction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04080	Neuroactive ligand-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04110	Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04111	Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04112	Cell cycle - Caulobacter	2	3	2	3	2	3	3	3	3	2	3	2	2
ko04113	Meiosis - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04114	Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04115	p53 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04120	Ubiquitin mediated proteolysis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04122	Sulfur relay system	9	11	11	14	8	8	16	11	9	10	11	10	12
ko04130	SNARE interactions in vesicular transport	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04136	Autophagy - other	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04137	Mitophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04138	Autophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04139	Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04140	Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04141	Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04142	Lysosome	11	10	13	7	11	6	8	5	8	2	2	13	13
ko04144	Endocytosis	1	1	1	0	0	0	0	0	1	0	0	1	1
ko04145	Phagosome	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04146	Peroxisome	9	10	10	12	11	12	18	10	11	7	15	9	8
ko04150	mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04151	PI3K-Akt signaling pathway	1	1	0	0	0	0	1	0	0	0	0	0	0
ko04152	AMPK signaling pathway	2	2	1	2	1	1	3	2	1	2	2	2	1
ko04210	Apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04211	Longevity regulating pathway	1	0	1	1	1	0	1	0	0	0	0	1	1
ko04212	Longevity regulating pathway - worm	1	0	1	1	1	0	2	0	1	0	0	1	1
ko04213	Longevity regulating pathway - multiple species	1	0	1	1	1	0	1	0	0	0	0	1	1
ko04214	Apoptosis - fly	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04215	Apoptosis - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04216	Ferroptosis	2	2	2	2	2	1	2	2	2	2	2	2	2
ko04217	Necroptosis	3	3	3	2	3	2	3	3	3	2	2	2	3
ko04218	Cellular senescence	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04260	Cardiac muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04261	Adrenergic signaling in cardiomyocytes	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04270	Vascular smooth muscle contraction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04310	Wnt signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04320	Dorso-ventral axis formation	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04330	Notch signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04340	Hedgehog signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04341	Hedgehog signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04350	TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04360	Axon guidance	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04361	Axon regeneration	1	1	1	0	0	0	1	1	1	1	1	0	0
ko04370	VEGF signaling pathway	1	1	1	0	0	0	1	1	0	0	0	0	1
ko04371	Apelin signaling pathway	1	1	1	0	1	0	2	1	0	0	0	0	1
ko04380	Osteoclast differentiation	0	0	1	0	0	0	0	0	0	0	0	1	1
ko04390	Hippo signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04391	Hippo signaling pathway - fly	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04392	Hippo signaling pathway - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04510	Focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04512	ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04514	Cell adhesion molecules	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04520	Adherens junction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04530	Tight junction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04540	Gap junction	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04550	Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04610	Complement and coagulation cascades	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04611	Platelet activation	0	0	0	0	0	0	1	0	0	0	0	0	0
ko04612	Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04613	Neutrophil extracellular trap formation	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04614	Renin-angiotensin system	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04620	Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04621	NOD-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04622	RIG-I-like receptor signaling pathway	0	0	1	0	1	1	1	0	0	0	1	0	0
ko04623	Cytosolic DNA-sensing pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04624	Toll and Imd signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04625	C-type lectin receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04626	Plant-pathogen interaction	1	1	1	1	1	1	1	1	1	1	0	1	1
ko04630	JAK-STAT signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04640	Hematopoietic cell lineage	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04650	Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	0	0	0	0	0
