ko	pathway	ERR1995229_bin.1	ERR1995229_bin.10	ERR1995229_bin.11	ERR1995229_bin.12	ERR1995229_bin.13	ERR1995229_bin.14	ERR1995229_bin.15	ERR1995229_bin.16	ERR1995229_bin.17	ERR1995229_bin.18	ERR1995229_bin.19	ERR1995229_bin.2	ERR1995229_bin.20	ERR1995229_bin.21	ERR1995229_bin.22	ERR1995229_bin.23	ERR1995229_bin.24	ERR1995229_bin.25	ERR1995229_bin.26	ERR1995229_bin.27	ERR1995229_bin.28	ERR1995229_bin.29	ERR1995229_bin.3	ERR1995229_bin.30	ERR1995229_bin.31	ERR1995229_bin.32	ERR1995229_bin.33	ERR1995229_bin.34	ERR1995229_bin.35	ERR1995229_bin.36	ERR1995229_bin.37	ERR1995229_bin.38	ERR1995229_bin.39	ERR1995229_bin.4	ERR1995229_bin.40	ERR1995229_bin.41	ERR1995229_bin.5	ERR1995229_bin.6	ERR1995229_bin.7	ERR1995229_bin.8	ERR1995229_bin.9
ko00261	Monobactam biosynthesis	14	15	14	14	13	14	15	11	14	12	14	15	14	14	13	17	18	15	16	11	11	17	13	12	17	12	14	14	14	15	15	16	10	14	16	14	15	13	14	11	14
ko00270	Cysteine and methionine metabolism	65	55	64	68	57	63	66	39	66	58	61	70	68	69	67	67	64	69	66	63	70	61	54	65	47	66	64	72	61	64	62	68	39	57	69	62	60	62	63	68	62
ko00280	Valine, leucine and isoleucine degradation	42	38	42	43	45	34	53	29	56	38	48	40	38	44	45	54	52	54	58	49	48	45	33	52	44	33	40	38	44	46	38	52	12	31	52	33	34	55	43	35	52
ko00281	Geraniol degradation	11	11	9	11	12	8	14	7	13	9	13	9	8	11	11	14	13	14	13	12	13	7	6	13	8	8	9	7	12	13	9	13	4	7	13	7	7	13	12	7	14
ko00290	Valine, leucine and isoleucine biosynthesis	16	9	16	16	12	16	16	4	16	15	16	16	16	16	15	15	16	16	16	13	16	6	11	16	5	16	16	16	15	15	16	16	4	13	16	16	15	16	15	16	16
ko00300	Lysine biosynthesis	40	31	39	40	29	39	38	22	39	38	39	40	38	41	41	40	41	38	40	37	39	31	38	37	31	37	41	41	41	39	39	40	22	37	40	38	38	40	40	40	35
ko00310	Lysine degradation	18	14	17	22	24	16	23	11	24	17	18	15	15	19	21	23	22	21	23	24	21	22	16	20	13	17	18	16	19	21	15	24	10	13	22	15	17	26	19	17	20
ko00311	Penicillin and cephalosporin biosynthesis	4	6	5	5	3	6	5	6	4	4	4	5	5	5	5	5	5	4	4	2	4	4	6	5	4	3	4	6	4	5	5	3	4	5	4	5	3	4	5	3	3
ko00330	Arginine and proline metabolism	48	28	43	54	29	46	45	26	43	45	35	43	44	44	49	47	38	43	48	36	40	30	35	40	32	44	49	41	42	45	43	47	33	35	46	44	42	50	46	44	32
ko00331	Clavulanic acid biosynthesis	3	1	3	3	1	3	3	2	3	3	4	3	2	3	4	4	3	2	2	2	3	2	2	4	2	2	3	3	4	3	3	3	2	2	4	3	3	3	4	2	3
ko00332	Carbapenem biosynthesis	6	7	5	6	7	4	8	5	7	4	9	7	4	5	6	9	9	6	7	7	8	2	5	9	4	3	6	6	9	7	6	8	3	8	8	5	6	7	8	6	9
ko00333	Prodigiosin biosynthesis	14	8	12	14	8	9	14	10	14	13	13	11	9	14	15	14	15	14	16	7	14	17	11	15	17	10	14	12	13	12	12	14	6	14	16	7	11	14	13	11	11
ko00340	Histidine metabolism	25	15	24	23	16	24	23	13	23	15	24	24	23	23	27	31	23	26	25	18	23	16	14	23	22	24	25	23	24	13	23	24	15	15	25	23	13	24	25	24	14
ko00350	Tyrosine metabolism	20	17	20	22	19	23	25	15	22	24	30	23	23	27	25	32	28	26	28	19	23	26	29	20	28	23	28	22	28	23	22	28	19	21	24	23	19	34	29	26	25
ko00360	Phenylalanine metabolism	30	28	31	29	29	32	33	20	32	29	29	30	29	31	29	38	34	33	36	27	29	30	29	29	30	30	32	33	27	29	32	35	23	26	35	30	28	33	30	30	32
ko00361	Chlorocyclohexane and chlorobenzene degradation	12	14	13	14	14	13	15	9	13	14	14	11	12	15	12	14	15	12	15	8	12	15	14	13	15	11	12	11	11	11	12	10	6	14	13	12	10	12	12	13	12
ko00362	Benzoate degradation	39	57	38	48	58	39	57	22	60	36	55	34	37	48	42	57	54	53	61	50	52	41	37	55	43	30	37	36	43	46	33	53	16	34	54	31	29	57	42	35	61
ko00363	Bisphenol degradation	2	2	1	2	1	1	1	1	2	2	2	1	2	2	2	2	1	1	2	1	1	1	2	1	2	1	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2
ko00364	Fluorobenzoate degradation	5	5	5	4	6	4	5	4	4	4	6	5	4	5	5	6	6	5	5	4	5	5	5	5	5	5	5	5	6	5	5	4	3	6	5	5	4	4	6	5	3
ko00365	Furfural degradation	4	3	1	5	5	1	4	1	6	1	5	1	2	4	4	2	3	3	4	4	6	4	2	6	3	1	2	1	5	1	2	3	2	1	2	4	1	5	6	6	5
ko00380	Tryptophan metabolism	22	19	22	23	22	22	24	13	26	16	22	20	18	26	20	23	22	26	23	20	23	16	15	22	17	19	21	19	20	21	20	25	13	14	26	17	19	26	21	20	23
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	48	33	48	48	37	45	46	18	50	43	47	48	44	49	51	53	48	51	49	49	49	38	45	46	34	46	49	51	43	42	50	50	24	35	50	46	47	49	44	49	42
ko00401	Novobiocin biosynthesis	13	14	15	14	13	15	14	12	14	15	14	15	15	15	15	14	15	15	15	14	13	14	14	13	13	13	14	14	14	12	14	16	9	14	15	14	14	14	14	13	15
ko00402	Benzoxazinoid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00403	Indole diterpene alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00404	Staurosporine biosynthesis	6	6	3	4	4	4	6	9	1	4	1	1	5	6	3	6	5	3	5	5	13	5	5	5	5	12	7	6	3	5	4	5	0	4	4	3	1	1	3	12	4
ko00405	Phenazine biosynthesis	11	5	8	9	7	6	10	5	8	10	8	9	6	9	10	9	10	10	10	5	9	9	7	7	8	6	9	9	7	9	7	9	4	7	10	7	8	9	8	9	7
ko00410	beta-Alanine metabolism	21	15	18	21	16	18	26	11	25	19	15	19	18	20	21	25	23	26	27	22	24	17	15	20	15	19	20	16	20	24	17	26	11	12	25	21	15	25	22	18	16
ko00430	Taurine and hypotaurine metabolism	12	10	10	13	7	11	14	8	13	7	10	13	11	13	13	12	11	11	13	13	12	10	11	13	10	10	13	13	13	14	12	14	6	8	13	12	12	12	14	13	9
ko00440	Phosphonate and phosphinate metabolism	14	10	14	15	10	12	13	8	10	13	10	12	14	15	11	15	11	11	20	10	12	9	12	10	10	15	15	12	10	11	12	14	11	11	14	12	10	11	11	12	10
ko00450	Selenocompound metabolism	19	14	17	19	16	15	19	11	19	13	18	17	16	19	18	19	18	19	16	17	17	18	13	17	14	16	17	20	17	19	17	19	12	15	19	17	16	18	17	17	16
ko00460	Cyanoamino acid metabolism	7	8	6	8	7	7	9	5	9	4	6	6	7	6	8	9	6	5	8	9	7	5	8	8	5	7	8	9	8	9	6	8	4	8	7	6	10	7	7	9	8
ko00470	D-Amino acid metabolism	27	25	23	30	28	29	29	21	28	24	24	25	25	27	26	27	25	28	29	28	27	27	25	26	24	26	28	27	25	27	26	29	16	25	29	27	25	27	25	24	26
ko00480	Glutathione metabolism	7	6	7	7	7	11	7	5	7	15	7	12	8	8	8	12	11	11	12	8	8	7	6	12	7	8	8	8	8	9	5	9	4	7	9	7	8	6	7	8	8
ko00500	Starch and sucrose metabolism	41	37	40	43	32	43	48	41	49	37	40	50	49	35	52	42	45	49	15	33	54	36	37	50	40	53	47	51	48	47	35	41	37	44	36	42	46	44	47	49	36
ko00510	N-Glycan biosynthesis	3	2	3	3	1	3	2	6	2	4	3	3	2	2	2	3	2	2	3	2	3	2	2	3	2	5	3	6	1	2	3	2	2	3	2	2	2	2	3	2	2
ko00511	Other glycan degradation	0	3	3	2	0	4	2	1	2	1	2	3	2	3	2	7	4	2	0	0	6	2	2	2	3	3	2	4	2	3	0	3	0	4	2	4	2	0	2	5	0
ko00512	Mucin type O-glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00513	Various types of N-glycan biosynthesis	1	1	0	1	0	2	0	4	0	0	1	0	0	0	0	4	1	0	0	0	2	0	0	1	1	3	1	3	0	1	1	0	0	2	0	1	0	0	1	2	0
ko00514	Other types of O-glycan biosynthesis	1	1	0	1	1	0	1	1	1	1	0	2	2	1	1	1	1	2	0	1	1	1	1	1	1	2	1	2	0	1	1	2	0	1	2	1	1	0	0	2	0
ko00515	Mannose type O-glycan biosynthesis	1	1	1	1	2	0	1	0	2	0	0	1	2	1	0	1	0	2	0	0	0	0	1	1	0	2	2	1	0	1	1	1	0	1	1	1	0	0	0	2	0
ko00520	Amino sugar and nucleotide sugar metabolism	90	89	93	93	68	96	93	82	100	97	101	98	100	89	97	99	94	98	93	60	111	85	86	106	88	99	98	106	96	105	92	95	61	88	101	96	81	103	96	94	98
ko00521	Streptomycin biosynthesis	11	11	9	11	10	10	11	10	11	11	11	8	13	11	10	14	13	12	10	6	11	12	11	11	12	11	11	11	10	11	11	10	8	11	10	11	9	9	12	11	10
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	6	12	5	5	6	5	6	5	5	4	4	4	8	6	4	14	14	5	6	8	6	6	4	6	14	5	5	6	4	4	7	7	1	6	4	11	4	4	4	14	6
ko00523	Polyketide sugar unit biosynthesis	33	21	24	34	18	21	29	24	32	31	24	15	28	35	27	28	30	33	26	11	33	28	21	34	33	29	34	36	22	32	31	26	12	17	30	26	20	20	22	31	25
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	10	3	7	35	10	40	5	6	35	5	2	40	40	9	5	9	41	39	36	2	7	39	6	39	41	3	41	7	35	41	41	38	5	5	7	34	7	40	35	6	5
ko00525	Acarbose and validamycin biosynthesis	15	10	15	15	12	16	17	9	15	17	13	15	15	17	17	16	18	17	12	13	16	14	13	15	16	16	17	15	15	17	17	17	10	11	17	14	14	16	17	17	16
ko00531	Glycosaminoglycan degradation	1	4	2	1	5	8	3	3	3	1	2	3	3	1	2	10	8	2	2	2	8	2	3	3	3	3	2	3	2	5	2	3	0	8	2	9	3	2	2	3	2
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00540	Lipopolysaccharide biosynthesis	25	20	21	23	17	20	22	22	18	29	22	24	27	24	19	34	31	25	34	17	26	29	24	21	28	19	19	24	21	23	26	23	15	24	26	21	19	22	21	21	21
ko00541	O-Antigen nucleotide sugar biosynthesis	52	44	46	49	36	53	45	44	50	56	50	47	54	53	46	54	50	47	52	25	55	50	45	55	50	53	52	53	45	54	49	51	32	47	53	47	42	51	45	46	53
ko00542	O-Antigen repeat unit biosynthesis	2	1	2	2	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1	2	2	2	2	2	1
ko00550	Peptidoglycan biosynthesis	20	20	22	20	20	21	21	25	20	21	20	20	20	20	21	23	20	19	19	20	24	19	19	21	19	20	20	23	20	20	26	19	16	18	18	19	18	21	20	20	25
ko00552	Teichoic acid biosynthesis	17	13	15	15	9	14	14	15	12	16	12	17	16	14	14	14	17	17	17	9	16	13	16	12	13	16	12	14	11	16	15	16	8	12	15	16	11	10	12	12	13
ko00561	Glycerolipid metabolism	29	27	26	27	25	30	29	22	28	20	30	27	28	28	27	30	23	30	27	26	30	23	25	30	24	28	29	28	30	26	26	25	19	28	26	28	24	22	29	30	25
ko00562	Inositol phosphate metabolism	17	15	15	17	17	20	15	7	13	13	14	17	20	19	15	22	17	16	13	11	17	13	10	15	15	14	17	16	17	14	16	15	14	16	12	11	9	13	16	16	17
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00564	Glycerophospholipid metabolism	32	31	27	34	33	36	34	25	36	30	33	31	33	36	33	39	34	31	32	33	31	36	35	35	36	31	30	32	33	20	27	37	23	35	38	26	28	32	36	31	26
ko00565	Ether lipid metabolism	3	3	1	3	4	3	3	2	4	4	5	4	4	4	3	7	4	3	2	4	4	3	5	5	4	5	2	4	5	1	1	3	2	4	4	2	3	4	6	5	2
ko00571	Lipoarabinomannan (LAM) biosynthesis	4	4	3	4	4	4	4	4	3	4	4	5	4	4	3	5	4	4	4	4	3	4	3	4	4	4	3	3	3	4	5	3	3	3	3	3	4	4	4	4	4
ko00572	Arabinogalactan biosynthesis - Mycobacterium	4	4	4	4	2	4	5	3	4	4	5	3	4	5	3	4	5	5	4	2	4	5	3	5	5	4	5	5	5	5	4	5	1	4	3	3	4	3	5	5	3
ko00590	Arachidonic acid metabolism	2	2	3	2	2	2	2	3	3	3	4	2	2	2	2	6	3	4	3	3	3	4	2	4	5	3	2	3	4	4	2	3	0	3	3	1	2	2	4	3	2
ko00591	Linoleic acid metabolism	2	1	2	2	1	2	2	2	2	2	3	2	2	2	2	4	2	3	2	1	2	2	2	3	3	2	2	2	3	2	2	2	0	2	2	2	2	2	3	2	2
ko00592	alpha-Linolenic acid metabolism	1	0	1	1	2	0	3	1	2	2	3	1	0	1	2	3	1	3	2	2	2	2	0	3	2	1	1	1	2	3	2	2	0	1	2	0	1	2	2	2	3
ko00600	Sphingolipid metabolism	6	8	7	5	8	10	9	7	9	4	8	8	6	6	8	13	9	8	6	6	11	8	8	6	10	11	6	11	7	10	5	7	2	11	6	11	8	5	8	11	4
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2	2	1	0	0	3	1	1	1	1	1	2	2	0	1	3	2	1	0	1	3	1	0	2	2	2	1	1	2	2	1	1	0	2	1	3	2	0	2	3	1
ko00604	Glycosphingolipid biosynthesis - ganglio series	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0
ko00620	Pyruvate metabolism	71	53	71	72	63	72	77	52	70	66	71	73	68	73	79	78	69	75	78	63	69	60	66	71	66	63	71	73	70	65	73	74	39	65	72	70	63	75	68	76	67
ko00621	Dioxin degradation	7	6	8	7	5	6	6	4	6	6	5	5	9	6	6	7	10	8	10	4	5	7	6	5	8	5	7	6	5	5	5	5	2	5	8	7	5	5	6	5	5
ko00622	Xylene degradation	10	14	13	14	12	16	14	8	12	17	13	11	14	14	13	16	17	13	20	10	15	11	14	10	14	10	11	10	10	9	13	10	8	14	13	13	8	12	12	14	16
ko00623	Toluene degradation	11	19	11	11	19	13	15	7	14	15	14	12	11	13	15	22	21	18	20	12	16	16	15	13	18	12	12	10	12	14	12	14	5	13	15	16	9	15	16	16	17
ko00624	Polycyclic aromatic hydrocarbon degradation	9	13	11	11	11	14	10	8	10	13	11	12	14	9	8	15	14	9	13	9	11	11	7	10	11	12	10	9	9	10	10	11	2	9	9	12	9	12	12	11	10
ko00625	Chloroalkane and chloroalkene degradation	11	14	15	13	11	13	15	10	13	15	12	13	12	15	17	15	17	13	18	9	11	12	13	13	16	12	14	12	13	15	13	13	12	12	17	14	11	12	12	16	15
ko00626	Naphthalene degradation	7	9	9	9	8	11	10	8	8	12	9	11	10	10	10	11	11	10	10	7	9	19	8	8	19	9	10	8	8	10	11	9	8	8	10	9	8	11	9	10	11
ko00627	Aminobenzoate degradation	26	26	26	28	30	25	30	16	31	22	27	24	22	27	26	27	26	24	36	21	22	26	25	26	28	25	25	21	26	19	25	25	11	25	25	28	23	32	27	30	30
ko00630	Glyoxylate and dicarboxylate metabolism	58	41	55	59	55	57	58	37	62	54	62	58	55	62	61	66	56	60	65	52	59	54	49	59	55	49	57	57	60	57	54	61	19	53	57	49	50	61	61	63	56
ko00633	Nitrotoluene degradation	11	13	11	12	9	11	12	8	12	13	13	12	10	13	10	12	13	12	15	10	9	14	11	10	10	8	13	12	10	12	13	11	6	9	11	11	12	10	10	11	9
ko00640	Propanoate metabolism	56	45	57	60	53	53	66	44	65	49	57	58	54	60	62	68	56	65	69	60	60	54	45	62	55	41	58	52	57	58	57	63	26	44	64	49	51	62	59	55	60
ko00642	Ethylbenzene degradation	4	4	6	5	3	3	5	4	6	3	4	4	4	5	3	5	6	5	5	2	4	5	2	3	4	4	5	5	3	4	3	3	1	3	5	3	4	4	4	4	3
ko00643	Styrene degradation	5	9	6	10	9	9	7	4	12	7	6	4	6	10	10	8	7	5	14	10	6	9	13	3	6	5	6	6	6	5	6	4	4	6	5	5	5	12	5	7	10
ko00650	Butanoate metabolism	57	48	52	61	56	55	63	37	64	53	54	53	53	60	72	69	63	62	70	61	55	55	56	60	53	47	56	51	57	54	53	63	33	47	60	50	45	71	55	56	68
ko00660	C5-Branched dibasic acid metabolism	11	8	9	10	8	10	10	5	12	9	15	11	9	11	10	12	12	12	17	9	13	7	12	16	5	9	11	11	12	12	9	11	0	12	11	9	8	10	16	11	10
ko00670	One carbon pool by folate	24	19	23	23	17	16	23	14	20	13	18	20	16	23	19	27	21	19	20	23	22	23	18	16	27	22	26	22	20	17	17	22	8	24	21	24	16	17	20	24	17
ko00680	Methane metabolism	82	77	82	87	71	78	89	57	88	76	81	87	69	86	86	89	80	86	92	81	78	79	74	75	83	75	84	90	79	83	83	84	50	80	86	85	83	75	78	85	72
ko00710	Carbon fixation in photosynthetic organisms	15	14	15	16	15	17	16	12	17	12	16	14	16	15	16	16	12	17	16	15	15	16	15	15	16	12	11	16	15	16	16	15	13	13	16	12	12	12	14	15	13
ko00720	Carbon fixation pathways in prokaryotes	74	54	70	75	61	62	74	50	74	60	72	70	62	76	72	82	71	73	76	57	64	69	58	70	68	49	72	67	69	63	70	75	34	62	74	68	65	73	67	71	66
ko00730	Thiamine metabolism	22	18	20	23	17	20	20	11	22	18	20	20	18	23	21	20	19	22	20	22	21	19	20	20	15	20	22	20	20	20	21	20	14	19	22	20	20	22	21	21	20
ko00740	Riboflavin metabolism	19	18	20	31	17	19	30	12	31	32	22	20	24	29	22	28	26	29	29	21	23	29	21	20	28	24	30	22	22	27	20	29	16	21	32	28	23	29	21	26	25
ko00750	Vitamin B6 metabolism	9	10	11	10	10	9	13	5	11	8	10	10	9	13	10	11	12	13	11	11	11	12	9	10	10	10	10	10	8	11	9	12	5	7	13	8	8	10	9	10	10
ko00760	Nicotinate and nicotinamide metabolism	50	35	37	49	50	37	41	15	47	36	48	35	45	50	51	38	37	37	37	47	48	36	37	48	36	35	35	36	50	29	34	35	27	37	34	45	31	47	53	50	50
ko00770	Pantothenate and CoA biosynthesis	27	20	26	27	19	24	28	14	28	28	26	29	27	26	26	30	26	27	32	21	23	23	18	27	22	25	29	22	26	27	23	28	15	22	29	28	26	28	26	25	23
ko00780	Biotin metabolism	16	9	14	15	12	12	16	10	14	17	12	15	12	15	17	18	18	15	16	15	16	15	11	16	15	14	15	17	16	16	15	14	6	11	15	12	15	14	16	15	11
ko00785	Lipoic acid metabolism	1	4	0	1	4	0	1	1	1	4	0	1	0	1	1	7	0	0	1	1	0	3	0	0	5	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0
ko00790	Folate biosynthesis	32	29	33	37	27	36	40	21	47	39	30	46	29	37	48	48	46	45	45	36	35	48	31	29	47	41	46	36	24	33	26	44	18	29	44	49	29	34	23	36	34
ko00791	Atrazine degradation	5	5	8	6	6	6	6	3	7	5	1	5	6	7	5	4	2	8	7	3	4	2	4	3	7	6	5	6	2	5	5	8	3	2	11	11	5	6	1	11	2
ko00830	Retinol metabolism	6	7	7	6	6	8	8	6	6	8	7	8	6	8	8	8	8	8	7	6	6	7	8	6	8	6	8	6	7	8	8	8	7	6	8	5	6	8	7	8	8
ko00860	Porphyrin metabolism	60	37	43	71	45	43	64	39	56	44	64	71	49	55	62	65	58	55	73	60	64	51	46	62	51	60	67	65	65	71	52	53	28	45	45	63	51	63	66	65	42
